ids,context,question,answer,title
dab53eb6d3c65ed4,"'Let me try,' cried Biernuga, the bony fish, but he had no better luck, and no more had Kumbal, the bream, nor any of the rest. So Thuggai asked him, and Guddhu stripped some pieces of bark off a tree, and placed them on top of the smouldering ashes.",What was the first thing Guddhu the cod did to light the fire?,"stripped some pieces of bark off a tree, and placed them on top of the smouldering ashes",a-fish-story
8e2d455af9b8513c,"'Let me try,' cried Biernuga, the bony fish, but he had no better luck, and no more had Kumbal, the bream, nor any of the rest. So Thuggai asked him, and Guddhu stripped some pieces of bark off a tree, and placed them on top of the smouldering ashes.",Why did the fish tribe keep their backs toward the piercing wind?,They didn't want the wind to put out the fire.,a-fish-story
f23b08ffc3865b33,"'More wood,' cried Guddhi, and they all ran and gathered wood and heaped it on the flames, which leaped and roared and sputtered. And the fishes gathered round it as they had done on the top of the cliff, and found the flames as hot as before, and that fire never went out, like those upon land, but kept burning for ever.",What happened after the fish tribe rekindled the fire?,A blast of wind swept down from the hills and blew the fire out towards them.,a-fish-story
97265a10c7035e36,"'More wood,' cried Guddhi, and they all ran and gathered wood and heaped it on the flames, which leaped and roared and sputtered. And the fishes gathered round it as they had done on the top of the cliff, and found the flames as hot as before, and that fire never went out, like those upon land, but kept burning for ever.",Why did the fish tribe feel warm again after falling into the water?,"The fire, driven by the strong wind had followed them right down to the bottom of the pool.",a-fish-story
ea5d7e568e78591f,"'More wood,' cried Guddhi, and they all ran and gathered wood and heaped it on the flames, which leaped and roared and sputtered. And the fishes gathered round it as they had done on the top of the cliff, and found the flames as hot as before, and that fire never went out, like those upon land, but kept burning for ever.",What did the fishes find after gathering around the fire?,"found the flames as hot as before, and that fire never went out, like those upon land, but kept burning for ever",a-fish-story
054738fdf1d55e77,"'More wood,' cried Guddhi, and they all ran and gathered wood and heaped it on the flames, which leaped and roared and sputtered. And the fishes gathered round it as they had done on the top of the cliff, and found the flames as hot as before, and that fire never went out, like those upon land, but kept burning for ever.",Why did the fishes decide to live in the water?,It was cold under the water.,a-fish-story
d0bd82fcde2b5743,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.","Whose delight was it to play tricks on everybody, and particularly on the shepherds and the cowboys?",a mischievous kind of spirit,a-french-puck
bcefb6dd90bc5e32,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",Why didn't everyone know when they were safe from the mischievous kind of spirit?,"He could change himself into a man, woman or child, a stick, a goat, a ploughshare.",a-french-puck
b3fe9d18921c5ae3,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",What couldn't the spirit change into?,a needle,a-french-puck
10a798475e395b61,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",What was the sprite's name?,Puck,a-french-puck
e351dc366ad45055,"Among the mountain pastures and valleys that lie in the centre of France there dwelt a mischievous kind of spirit. Or perhaps Puck would spend his night in plaiting together the manes and tails of two of the horses, so that it would take the grooms hours of labour to get them right in the morning. Puck, hidden among the hay in the loft, would peep out to watch them, enjoying himself amazingly all the time.",What did the sprite do in the cowsheds?,"unfastened the chains that fixed each beast in its own stall, and let them fall with a heavy clang to the ground",a-french-puck
d6204d51c8ef5364,"One evening more than eighty years ago a man named William was passing along the bank of a stream when he noticed a sheep who was bleating loudly. So he went up to where it was standing, and as it seemed so tired that it could hardly walk, he hoisted it on his shoulders and continued on his way.",What did William notice as he was passing by?,a sheep who was bleating loudly,a-french-puck
d7a7a4e2e9c8522f,"One evening more than eighty years ago a man named William was passing along the bank of a stream when he noticed a sheep who was bleating loudly. So he went up to where it was standing, and as it seemed so tired that it could hardly walk, he hoisted it on his shoulders and continued on his way.",Why did William decide to take the sheep home with him?,William thought it must have strayed from the flock.,a-french-puck
53d7b50fabd6542a,"One evening more than eighty years ago a man named William was passing along the bank of a stream when he noticed a sheep who was bleating loudly. So he went up to where it was standing, and as it seemed so tired that it could hardly walk, he hoisted it on his shoulders and continued on his way.",How did William feel after he heard a voice?,startled,a-french-puck
46c94469e97a587a,"One evening more than eighty years ago a man named William was passing along the bank of a stream when he noticed a sheep who was bleating loudly. So he went up to where it was standing, and as it seemed so tired that it could hardly walk, he hoisted it on his shoulders and continued on his way.",What did William do after he talked to the voice?,ran towards home as fast as his legs would carry him,a-french-puck
08e8fda92e9c59bb,"One evening more than eighty years ago a man named William was passing along the bank of a stream when he noticed a sheep who was bleating loudly. So he went up to where it was standing, and as it seemed so tired that it could hardly walk, he hoisted it on his shoulders and continued on his way.",What made William jump?,A voice spoke out from over his head.,a-french-puck
545fda1a82b353c9,"Puck was careful not always to play his tricks in the same place, but visited one village after another, so that everyone trembled lest he should be the next victim. After a bit he grew tired of cowboys and shepherds, and wondered if there was no one else to give him some sport.",What did Puck change himself into?,a fly,a-french-puck
ee6d021d01da5044,"Puck was careful not always to play his tricks in the same place, but visited one village after another, so that everyone trembled lest he should be the next victim. After a bit he grew tired of cowboys and shepherds, and wondered if there was no one else to give him some sport.",Why did Puck decide to play a trick on a couple?,He grew tired of cowboys and shepherds.,a-french-puck
d871d4a27c86533d,"Puck was careful not always to play his tricks in the same place, but visited one village after another, so that everyone trembled lest he should be the next victim. After a bit he grew tired of cowboys and shepherds, and wondered if there was no one else to give him some sport.",What did the bride forget to buy?,the different coloured reels of cotton,a-french-puck
5d156cf494b95f05,"Puck was careful not always to play his tricks in the same place, but visited one village after another, so that everyone trembled lest he should be the next victim. After a bit he grew tired of cowboys and shepherds, and wondered if there was no one else to give him some sport.",How did the bride feel after she forgot to buy her cotton?,upset,a-french-puck
57e754d73d655603,"Puck was careful not always to play his tricks in the same place, but visited one village after another, so that everyone trembled lest he should be the next victim. After a bit he grew tired of cowboys and shepherds, and wondered if there was no one else to give him some sport.",Why did the bride need reels of cotton?,The dressmaker was coming in to-morrow.,a-french-puck
d2bd1e7e8ea05be0,"The bridegroom looked, and on one side of the road he saw a large ball of thread of all colours. All the colours, that is, of the dresses that were tied on to the back of the cart.",Why was there a large ball of thread on the side of the road?,Puck wanted to play another trick.,a-french-puck
8e3a829a78805dad,"The bridegroom looked, and on one side of the road he saw a large ball of thread of all colours. All the colours, that is, of the dresses that were tied on to the back of the cart.",Who turned themselves into a large ball of thread?,Puck,a-french-puck
0e23aea2fb3258df,"The bridegroom looked, and on one side of the road he saw a large ball of thread of all colours. All the colours, that is, of the dresses that were tied on to the back of the cart.",How did the couple feel after they found thread on the side of the road?,happy,a-french-puck
eb17ed4fc96d5084,"The bridegroom looked, and on one side of the road he saw a large ball of thread of all colours. All the colours, that is, of the dresses that were tied on to the back of the cart.",Why was the dressmaker delighted with the thread?,"It matched the stuffs so perfectly, and never tied itself in knots, or broke perpetually, as most thread did.",a-french-puck
81813f6997db5fb2,"The bridegroom looked, and on one side of the road he saw a large ball of thread of all colours. All the colours, that is, of the dresses that were tied on to the back of the cart.",Why was there a great crowd assembled to witness the ceremony?,"The young people were immense favourites in the neighbourhood, and their parents were very rich.",a-french-puck
9e3a89b3a1c75596,"But just as she entered the church and took the hand of the bridegroom, who was waiting for her, a loud noise was heard. and the wedding garments fell to the ground, to the great confusion of the wearer.",How did the wedding guests feel after they saw the dress?,amazed,a-french-puck
7054ee23a8e6550b,"But just as she entered the church and took the hand of the bridegroom, who was waiting for her, a loud noise was heard. and the wedding garments fell to the ground, to the great confusion of the wearer.",What happened after the bride entered the church and a loud noise was heard?,"The wedding garments fell to the ground, to the great confusion of the wearer.",a-french-puck
58d2d97ae495597c,"But just as she entered the church and took the hand of the bridegroom, who was waiting for her, a loud noise was heard. and the wedding garments fell to the ground, to the great confusion of the wearer.",Why did one of the guests stay behind?,"to examine the dress, determined, if she could, to find out the cause of the disaster",a-french-puck
32cc4102bd8f5b54,"But just as she entered the church and took the hand of the bridegroom, who was waiting for her, a loud noise was heard. and the wedding garments fell to the ground, to the great confusion of the wearer.",Why was the bride so upset?,Her dress fell apart.,a-french-puck
5fef8547867857c3,"But just as she entered the church and took the hand of the bridegroom, who was waiting for her, a loud noise was heard. and the wedding garments fell to the ground, to the great confusion of the wearer.",What happened after the guest tried to examine the dress?,The thread had vanished.,a-french-puck
b7827db35d0158c5,"When Confucius came to the earth, the Kilin, that strange beast which is the prince of all four-footed animals, and only appears when there is a great man on earth, sought the child and spat out a jade whereon was written: ""Son of the Watercrystal you are destined to become an uncrowned king!"" And Confucius grew up, studied diligently, learned wisdom and came to be a saint.",Who is the strange beast which is the prince of all four-footed animals?,the Kilin,a-legend-of-confucius
bd119c6d5139559a,"When Confucius came to the earth, the Kilin, that strange beast which is the prince of all four-footed animals, and only appears when there is a great man on earth, sought the child and spat out a jade whereon was written: ""Son of the Watercrystal you are destined to become an uncrowned king!"" And Confucius grew up, studied diligently, learned wisdom and came to be a saint.","Who studied diligently, learned wisdom and came to be a saint?",Confucius,a-legend-of-confucius
c78557b0aa215364,"When Confucius came to the earth, the Kilin, that strange beast which is the prince of all four-footed animals, and only appears when there is a great man on earth, sought the child and spat out a jade whereon was written: ""Son of the Watercrystal you are destined to become an uncrowned king!"" And Confucius grew up, studied diligently, learned wisdom and came to be a saint.",Why was Confucius's death reverenced as the greatest of teachers and masters?,He did much good on earth.,a-legend-of-confucius
e8bde341e1165d4b,"Once, when the wicked Emperor Tsin Schi Huang had conquered all the other kingdoms, and was traveling through the entire empire, he came to the homeland of Confucius. All his officials advised him not to do so, but he would not listen to them.",Where did the wicked Emperor Tsin Schi Huang go to after he had conquered all the other kingdoms?,the homeland of Confucius,a-legend-of-confucius
8cdd798b423c5127,"Once, when the wicked Emperor Tsin Schi Huang had conquered all the other kingdoms, and was traveling through the entire empire, he came to the homeland of Confucius. All his officials advised him not to do so, but he would not listen to them.",What did Emperor Tsin Schi Huang wish to do after he found Confucius's grave?,wished to have it opened and see what was in it,a-legend-of-confucius
4f3596d4c4b75f76,"Once, when the wicked Emperor Tsin Schi Huang had conquered all the other kingdoms, and was traveling through the entire empire, he came to the homeland of Confucius. All his officials advised him not to do so, but he would not listen to them.","Who had conquered all the other kingdoms, and was traveling through the entire empire?",Emperor Tsin Schi Huang,a-legend-of-confucius
a874d66345e15402,"But as he did so a tablet suddenly appeared before his eyes on which stood the following lines:      O'er kingdoms six Tsin Schi Huang his army led,     To ope my grave and find my humble bed;     He steals my shoes and takes my staff away     To reach Schakiu--and his last earthly day! Tsin Schi Huang was much alarmed, and had the grave closed again.",How will Emperor Tsin Schi Huang feel after he reads from the tablet?,alarmed,a-legend-of-confucius
e2ae6cc6249a5241,"Tsin Schi Huang was much alarmed, and had the grave closed again. But when he reached Schakiu he fell ill of a hasty fever of which he died.",What happened after Emperor Tsin Schi Huang closed the grave?,He fell ill of a hasty fever of which he died.,a-legend-of-confucius
bf2a7a8e69d45f3f,"Tsin Schi Huang was much alarmed, and had the grave closed again. But when he reached Schakiu he fell ill of a hasty fever of which he died.",Where did Emperor Tsin Schi Huang die from a hasty fever?,Schakiu,a-legend-of-confucius
fd51a87b485958dd,"To the left of the coffin was a door, which led into an inner chamber. And there on the floor stood two shoes of red silk, whose tips were adorned with a woven pattern of clouds.",Why did a tablet suddenly appear in front of Emperor Tsin Schi Huang?,"The Emperor, in jest, put on the shoes, took the staff and left the grave.",a-legend-of-confucius
cfdc582f63e25308,"When Confucius came to the earth, the Kilin, that strange beast which is the prince of all four-footed animals, and only appears when there is a great man on earth, sought the child and spat out a jade whereon was written: ""Son of the Watercrystal you are destined to become an uncrowned king!"" The Emperor, in jest, put on the shoes, took the staff and left the grave.",How did Confucius give evidence that he had foreknowledge of many things?,He had a tablet that predicted Emperor Tsin Schi Huang's actions.,a-legend-of-confucius
7d9e46dbfe7a5872,"Once, when the wicked Emperor Tsin Schi Huang had conquered all the other kingdoms, and was traveling through the entire empire, he came to the homeland of Confucius. All his officials advised him not to do so, but he would not listen to them.",What did Emperor Tsin Schi Huang's advisors' do when he wanted to open the grave?,advised him not to do so,a-legend-of-confucius
5ff8fb61bf905749,"To the left of the coffin was a door, which led into an inner chamber. And there on the floor stood two shoes of red silk, whose tips were adorned with a woven pattern of clouds.",What did Emperor Tsin Schi Huang do when he reached the inner chamber?,seated himself on the bed and looked down,a-legend-of-confucius
db546f8bfc925bf4,"Once, when the wicked Emperor Tsin Schi Huang had conquered all the other kingdoms, and was traveling through the entire empire, he came to the homeland of Confucius. And there on the floor stood two shoes of red silk, whose tips were adorned with a woven pattern of clouds.",What will happen after Emperor Tsin Schi Huang enters the grave?,He will steal from Confucius's grave.,a-legend-of-confucius
e0d466a1c21551d1,"When Confucius came to the earth, the Kilin, that strange beast which is the prince of all four-footed animals, and only appears when there is a great man on earth, sought the child and spat out a jade whereon was written: ""Son of the Watercrystal you are destined to become an uncrowned king!"" And Confucius grew up, studied diligently, learned wisdom and came to be a saint.",What did the Kilin do when there was a great man on earth?,sought the child and spat out a jade,a-legend-of-confucius
4e03956b39e95417,"It so happened that Finn and his gigantic relatives were all working at the Giant's Causeway in order to make a bridge, or, what was still better, a good stout pad-road across to Scotland. Whether the story is true or not I cannot say, but the report went that by one blow of his fist he flattened a thunderbolt, and kept it in his pocket in the shape of a pancake to show to all his enemies when they were about to fight him.",Why were Finn and his gigantic relatives at the Giant's Causeway?,to make a bridge,a-legend-of-knockmany
d001bb89da8d5c5b,"It so happened that Finn and his gigantic relatives were all working at the Giant's Causeway in order to make a bridge, or, what was still better, a good stout pad-road across to Scotland. Whether the story is true or not I cannot say, but the report went that by one blow of his fist he flattened a thunderbolt, and kept it in his pocket in the shape of a pancake to show to all his enemies when they were about to fight him.",Where did Finn work?,the Giant's Causeway,a-legend-of-knockmany
5e8ad12ac9895e10,"It so happened that Finn and his gigantic relatives were all working at the Giant's Causeway in order to make a bridge, or, what was still better, a good stout pad-road across to Scotland. Whether the story is true or not I cannot say, but the report went that by one blow of his fist he flattened a thunderbolt, and kept it in his pocket in the shape of a pancake to show to all his enemies when they were about to fight him.",What happened after Finn lopped off the roots and branches of a fir-tree?,He made a walking-stick of it and set out on his way to Oonagh.,a-legend-of-knockmany
06a44e919af6509c,"It so happened that Finn and his gigantic relatives were all working at the Giant's Causeway in order to make a bridge, or, what was still better, a good stout pad-road across to Scotland. Whether the story is true or not I cannot say, but the report went that by one blow of his fist he flattened a thunderbolt, and kept it in his pocket in the shape of a pancake to show to all his enemies when they were about to fight him.",Where did Finn live?,on Knockmany Hill,a-legend-of-knockmany
12e9f90e731e55c4,"It so happened that Finn and his gigantic relatives were all working at the Giant's Causeway in order to make a bridge, or, what was still better, a good stout pad-road across to Scotland. Whether the story is true or not I cannot say, but the report went that by one blow of his fist he flattened a thunderbolt, and kept it in his pocket in the shape of a pancake to show to all his enemies when they were about to fight him.",Who was Finn's wife?,Oonagh,a-legend-of-knockmany
eabc5991fd705e7a,"It so happened that Finn and his gigantic relatives were all working at the Giant's Causeway in order to make a bridge, or, what was still better, a good stout pad-road across to Scotland. Whether the story is true or not I cannot say, but the report went that by one blow of his fist he flattened a thunderbolt, and kept it in his pocket in the shape of a pancake to show to all his enemies when they were about to fight him.",Why was Far Rua well-known?,No other giant could stand before him.,a-legend-of-knockmany
1db6688ea8c3515e,"Undoubtedly he had given every giant in Ireland a considerable beating, barring Finn M'Coul himself. Finn, however, had a strong disinclination to meet a giant who could make a young earthquake or flatten a thunderbolt when he was angry.",What did Finn do to avoid Far Rua?,kept dodging about from place to place,a-legend-of-knockmany
df97d041867558a9,"Undoubtedly he had given every giant in Ireland a considerable beating, barring Finn M'Coul himself. Finn, however, had a strong disinclination to meet a giant who could make a young earthquake or flatten a thunderbolt when he was angry.",Why was Far Rua coming to Causeway?,to have a trial of strength with Finn,a-legend-of-knockmany
ac5f28cef6b05d99,"Undoubtedly he had given every giant in Ireland a considerable beating, barring Finn M'Coul himself. Finn, however, had a strong disinclination to meet a giant who could make a young earthquake or flatten a thunderbolt when he was angry.",How did Finn's wife feel being alone?,lonely,a-legend-of-knockmany
fa7f5c3da9155913,"""Faith,"" said Finn, ""beautiful; and how are you, Oonagh--and how did you sport your figure during my absence, my bilberry?"" ""Why, avourneen,"" said Finn, putting in his answer in the proper way, ""never the thing but the purest of love and affection for yourself. Finn spent two or three happy days with Oonagh, and felt himself very comfortable considering the dread he had of Far Rua.",Why did Finn give a short good-humored cough and laugh heartily?,to show Oonagh how much he was delighted that she made herself happy in his absence,a-legend-of-knockmany
e6ff6073cb565869,"It so happened that Finn and his gigantic relatives were all working at the Giant's Causeway in order to make a bridge, or, what was still better, a good stout pad-road across to Scotland. The truth is that honest Finn's affection for his wife was by no manner of means the whole cause of his journey home. Whether the story is true or not I cannot say, but the report went that by one blow of his fist he flattened a thunderbolt, and kept it in his pocket in the shape of a pancake to show to all his enemies when they were about to fight him. "" As he spoke he clapped his thumb in his mouth, as he always did when he wanted to prophesy or to know anything.",What did Far Rua always carry with him?,a thunderbolt,a-legend-of-knockmany
b0a5c5d5b9165f94,"""Faith,"" said Finn, ""beautiful; and how are you, Oonagh--and how did you sport your figure during my absence, my bilberry?"" ""Why, avourneen,"" said Finn, putting in his answer in the proper way, ""never the thing but the purest of love and affection for yourself. Finn spent two or three happy days with Oonagh, and felt himself very comfortable considering the dread he had of Far Rua.",What did Finn always do to prophesize or know anything?,clapped his thumb in his mouth,a-legend-of-knockmany
a7592f8708d25278,"""Faith,"" said Finn, ""beautiful; and how are you, Oonagh--and how did you sport your figure during my absence, my bilberry?"" ""Why, avourneen,"" said Finn, putting in his answer in the proper way, ""never the thing but the purest of love and affection for yourself. Finn spent two or three happy days with Oonagh, and felt himself very comfortable considering the dread he had of Far Rua.",Where did Finn prophesize Far Rua was at?,Dungannon,a-legend-of-knockmany
25e3efeccfdb580d,"""Faith,"" said Finn, ""beautiful; and how are you, Oonagh--and how did you sport your figure during my absence, my bilberry?"" ""Why, avourneen,"" said Finn, putting in his answer in the proper way, ""never the thing but the purest of love and affection for yourself. Finn spent two or three happy days with Oonagh, and felt himself very comfortable considering the dread he had of Far Rua.",Who had been troubling Finn?,Far Rua,a-legend-of-knockmany
222336735840558a,"Depend on me, and, maybe, I'll bring you out of this scrape better than ever you could bring yourself."" Indeed, to tell the truth, she was supposed to be a fairy herself. Now, it so happened that Oonagh had a sister named Granua living opposite to them, on the very top of Cullamore, which I have mentioned already.",Why did Finn's heart quiet?,He knew that Oonagh was hand-and-glove with the fairies.,a-legend-of-knockmany
50dcd8396ed55cac,"Depend on me, and, maybe, I'll bring you out of this scrape better than ever you could bring yourself."" Indeed, to tell the truth, she was supposed to be a fairy herself. Now, it so happened that Oonagh had a sister named Granua living opposite to them, on the very top of Cullamore, which I have mentioned already.",Who was Oonagh's sister?,Granua,a-legend-of-knockmany
0e558e27390d52cc,"Depend on me, and, maybe, I'll bring you out of this scrape better than ever you could bring yourself."" Indeed, to tell the truth, she was supposed to be a fairy herself. Now, it so happened that Oonagh had a sister named Granua living opposite to them, on the very top of Cullamore, which I have mentioned already.",Where did Granua live?,on the very top of Cullamore,a-legend-of-knockmany
4074effae81b5f8c,"Depend on me, and, maybe, I'll bring you out of this scrape better than ever you could bring yourself."" Indeed, to tell the truth, she was supposed to be a fairy herself. Now, it so happened that Oonagh had a sister named Granua living opposite to them, on the very top of Cullamore, which I have mentioned already.",What did Oonagh and Granua do on summer evenings?,held many agreeable conversation across the valley,a-legend-of-knockmany
fe0dee49b7de56fe,"Depend on me, and, maybe, I'll bring you out of this scrape better than ever you could bring yourself."" Indeed, to tell the truth, she was supposed to be a fairy herself. Now, it so happened that Oonagh had a sister named Granua living opposite to them, on the very top of Cullamore, which I have mentioned already.",What was Granua doing when Oonagh spoke to her?,picking bilberries at Althadhawn,a-legend-of-knockmany
e6835bbc83a05ca4,"Depend on me, and, maybe, I'll bring you out of this scrape better than ever you could bring yourself."" Indeed, to tell the truth, she was supposed to be a fairy herself. Now, it so happened that Oonagh had a sister named Granua living opposite to them, on the very top of Cullamore, which I have mentioned already.",What did Granua see when she looked about?,the biggest giant that ever was known coming up from Dungannon,a-legend-of-knockmany
2e0d77f319465c0c,"""I'll call to him,"" she replied, ""to come up to Cullamore and refresh himself, and maybe that will give you and Finn time to think of some plan to get yourselves out of the scrape. ""I'll do that with a heart and a half,"" replied Oonagh; ""and, indeed, Granua, I feel myself under great obligations to you for your kindness in keeping him off us till we see what can be done; for what would become of us all if anything happened to Finn, poor man!""",Why did Granua say she would tell Far Rua to refresh himself at Cullamore?,to give Oonagh and Finn time to think of some plan to get themselves out of the scrape,a-legend-of-knockmany
ead283c89d455c9e,"""I'll call to him,"" she replied, ""to come up to Cullamore and refresh himself, and maybe that will give you and Finn time to think of some plan to get yourselves out of the scrape. ""I'll do that with a heart and a half,"" replied Oonagh; ""and, indeed, Granua, I feel myself under great obligations to you for your kindness in keeping him off us till we see what can be done; for what would become of us all if anything happened to Finn, poor man!""",What did Granua want from Oonagh?,"fifteen or sixteen tubs, or the largest miscaun",a-legend-of-knockmany
235a4dcc801657c0,"""I'll call to him,"" she replied, ""to come up to Cullamore and refresh himself, and maybe that will give you and Finn time to think of some plan to get yourselves out of the scrape. ""I'll do that with a heart and a half,"" replied Oonagh; ""and, indeed, Granua, I feel myself under great obligations to you for your kindness in keeping him off us till we see what can be done; for what would become of us all if anything happened to Finn, poor man!""",What happened after Oonagh threw the miscaun?,"The miscaun fell about half-way between the two hills at the edge of the Broad Bog, near Augher.",a-legend-of-knockmany
451116bcf3c752aa,"""I'll call to him,"" she replied, ""to come up to Cullamore and refresh himself, and maybe that will give you and Finn time to think of some plan to get yourselves out of the scrape. ""I'll do that with a heart and a half,"" replied Oonagh; ""and, indeed, Granua, I feel myself under great obligations to you for your kindness in keeping him off us till we see what can be done; for what would become of us all if anything happened to Finn, poor man!""",What did Oonagh forget to do before throwing the miscaun?,say the charm that was to send it up,a-legend-of-knockmany
6b0d3e7c7c2e5943,"Lie there as a testimony of what has happened, and may evil betide the first living man that will ever attempt to move or injure you!"" If all fail, I'll give him a cast of heather broth, or a panada of oak bark.",What did the miscaun turn into?,a grey stone,a-legend-of-knockmany
8d4a8367161d5ff6,"Lie there as a testimony of what has happened, and may evil betide the first living man that will ever attempt to move or injure you!"" If all fail, I'll give him a cast of heather broth, or a panada of oak bark.",What will Granua do if all else fails?,"She will give FInn a cast of heather broth, or a panada of oak bark.",a-legend-of-knockmany
a3127547fd335744,"In the meantime Finn was very melancholy, and did not know what to do, or how to act at all. Talking of pancakes, maybe we'll give him as good as any he brings with him--thunderbolts or otherwise.",How did Finn feel in the meantime?,melancholy,a-legend-of-knockmany
3fc091634aff527d,"This relieved Finn very much, for, after all, he had great confidence in his wife, knowing, as he did, that she had got him out of many a quandary before. Having everything now prepared, she sent round to the neighbours and borrowed one-and-twenty iron griddles, which she took and kneaded into the hearts of one-and-twenty cakes of bread, and these she baked on the fire in the usual way, setting them aside in the cupboard according as they were done.",How did Oonagh find out the best way of succeeding in anything?,drew the nine woollen threads of different colors,a-legend-of-knockmany
